I,2020-02-07-23-06-46,0
I,2020-02-07-23-09-14,0
I,2020-02-07-23-13-38,0
U,2020-02-07-23-50-24,ALFKI
D,2020-02-07-23-51-04,ALFKI
U,2020-02-07-23-57-15,ANATR
I,2020-02-08-00-46-22,0
